,COMP_HIP_KNEE,MORT_30_AMI,MORT_30_COPD,MORT_30_HF,MORT_30_PN,MORT_30_STK,PSI_12_POSTOP_PULMEMB_DVT,PSI_14_POSTOP_DEHIS,PSI_15_ACC_LAC,PSI_4_SURG_COMP,PSI_6_IAT_PTX,PSI_90_SAFETY,READM_30_AMI,READM_30_COPD,READM_30_HF,READM_30_HIP_KNEE,READM_30_HOSP_WIDE,READM_30_PN,READM_30_STK,Closure,year,id
0,3.8,12.5,9.3,12.4,15.5,15.4,3.32,2.72,1.35,168.26,0.36,0.68,16.5,21.1,21.4,5.1,15.4,18.7,12.7,0.0,2015,10001
1,3.0,16.0,7.6,15.5,20.8,15.5,5.63,2.11,1.25,179.05,0.47,0.85,16.7,18.0,21.9,5.7,14.9,16.4,13.4,0.0,2015,10005
2,3.8,16.7,7.1,15.6,18.2,17.9,3.85,2.5,1.93,198.33,0.41,0.91,16.1,19.8,20.6,5.0,15.4,17.9,12.0,0.0,2015,10006
3,3.1,14.3,9.3,14.4,18.8,16.6,4.57,1.88,1.2,141.20540681102773,0.4,0.79,16.930459934807647,19.9,21.1,4.8,16.6,17.3,12.7,0.0,2015,10007
4,3.1,14.3,8.2,12.7,15.7,14.9,4.2,1.88,1.41,136.98947018992277,0.41,0.9,17.048832301119493,19.2,23.1,4.8,15.7,16.0,12.8,0.0,2015,10008
5,3.7,13.9,7.4,13.8,17.9,12.6,7.18,2.51,1.54,157.92,0.31,0.99,17.7,19.6,19.8,5.1,15.3,16.7,11.3,0.0,2015,10011
6,2.8,16.8,9.2,12.5,26.8,15.8,4.92,2.23,1.58,159.60861749368507,0.36,0.9,16.1,19.2,23.4,4.8,15.3,19.4,12.8,0.0,2015,10012
7,2.8,14.7,8.1,14.0,16.1,15.8,2.84,1.95,1.56,155.98,0.41,0.8,17.7,17.9,21.5,5.0,14.7,17.1,12.4,0.0,2015,10016
8,3.1,14.3,7.8,11.9,12.8,14.9,5.06,1.88,1.4,126.63055499432804,0.41,0.88,17.12738373488581,20.3,22.1,4.8,15.4,17.0,12.8,0.0,2015,10018
9,1.8,15.6,8.7,12.9,19.1,15.4,4.16,2.1,2.13,135.38,0.44,0.98,17.376555233172102,23.0,22.4,4.1,15.9,18.3,13.5,0.0,2015,10019
10,3.9,14.3,6.4,12.2,14.3,16.5,6.4,1.88,1.7,126.14525004339566,0.38,1.01,16.906618476288465,19.9,21.3,5.1,14.8,16.4,12.8,0.0,2015,10021
11,3.1,14.3,7.7,15.8,15.8,14.9,4.2,1.88,1.26,134.29778422084547,0.4,0.85,16.681142289296197,19.2,21.3,4.8,15.2,15.3,12.8,0.0,2015,10022
12,2.1,13.4,9.1,13.5,16.4,16.4,1.94,3.0,1.09,171.58,0.32,0.59,18.1,19.5,23.3,4.7,15.6,18.6,13.8,0.0,2015,10023
13,2.1,14.8,9.5,10.6,18.7,13.4,3.01,2.01,1.18,169.43,0.24,0.77,17.9,17.2,19.0,4.9,15.1,16.9,13.0,0.0,2015,10024
14,3.4,15.5,8.0,12.1,18.8,14.4,4.5,2.37,0.52,149.67,0.4,0.62,16.8,19.2,23.2,5.9,15.2,15.8,12.1,0.0,2015,10029
15,3.1,14.3,8.2,10.5,15.8,14.9,4.2,1.88,1.36,134.98001379844533,0.39,0.88,16.711989252284084,18.6,21.6,4.8,14.9,16.3,12.8,0.0,2015,10032
16,3.4,12.4,7.1,10.5,14.9,18.9,5.88,1.35,0.68,142.0,0.53,0.81,18.0,19.9,23.7,5.7,16.5,18.6,16.0,0.0,2015,10033
17,3.1,14.3,7.0,9.4,13.0,14.7,4.93,1.88,2.06,125.34155201939166,0.39,1.01,16.963104892526214,20.1,21.7,4.8,14.7,15.8,12.7,0.0,2015,10034
18,2.5,15.7,8.3,12.5,20.2,16.8,2.17,2.16,1.25,127.02,0.42,0.64,16.2,19.8,22.8,4.6,15.7,16.6,12.5,0.0,2015,10035
19,2.6,14.3,7.2,11.5,15.1,13.2,4.29,2.23,2.33,133.3505531080104,0.36,1.02,17.315070601067582,19.8,23.4,3.9,16.4,17.2,12.5,0.0,2015,10036
20,3.0,14.5,6.4,12.1,14.7,14.4,4.26,2.19,1.63,130.9091078823494,0.41,0.87,17.7,20.3,24.0,4.7,15.9,17.7,13.5,0.0,2015,10038
21,2.1,13.1,8.3,11.7,18.7,17.9,4.17,1.75,1.32,171.91,0.3,0.74,16.3,19.2,21.5,4.8,15.2,17.3,12.3,0.0,2015,10039
22,4.0,15.0,7.5,13.8,18.7,13.9,5.72,1.96,1.77,122.13,0.42,0.98,17.1,19.7,21.0,6.7,15.9,18.0,13.1,0.0,2015,10040
